AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P317,P318,P319,P319A,P320,P203,P204,P205,P206,P207,P208,P209,IMPUTADO,TICUEST01A,CUESTIONARIOREDUCIDO,TIPOENTREVISTA,FACTOR07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2020,01,005386,093,11,03,030606,6,7,02,1,1,2, , ,3,1,2, ,2,7, , ,2,0,1,113.571726330773,244.682362139791,036129,00
2020,01,005408,006,11,04,030207,6,7,02,1,1,2, , ,3,1,2, ,2,7, , ,2,0,1,113.571726330773,244.682362139791,036314,00
2020,01,005408,119,11,05,030207,6,7,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,113.571726330773,244.682362139791,036314,00
2020,01,005435,068,11,05,030101,6,7,02,1,1,2, , ,3,1,2, ,1,7, , ,2,0,1,113.571726330773,244.682362139791,036577,00
2020,01,005450,009,11,05,030403,6,6,02,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,113.571726330773,244.682362139791,036691,00
2020,01,005473,012,11,03,040104,6,1,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,704.579463322272,1544.92878278265,042107,00
2020,01,005473,088,11,05,040104,6,1,02,2,2, , , ,3,1,2, ,1,8, , ,2,0,1,704.579463322272,1544.92878278265,042107,00
2020,01,005498,063,11,03,040101,6,1,02,1,2, , , ,3,1,2, ,1,8, , ,2,0,1,278.391255769555,655.297394295636,042443,00
2020,01,005498,075,11,05,040101,6,1,01,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,278.391255769555,655.297394295636,042443,00
2020,01,005524,014,11,03,040110,6,1,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,603.925254276233,1352.7026208696,042780,00
2020,01,005591,018,11,03,040413,3,5,02,1,1,1,99,4,3,1,2, ,2,9, , ,2,0,1,112.674274405617,409.263975363516,041795,00
2020,01,005591,018,11,04,040413,3,5,02,1,2, , , ,3,1,2, ,1,7, , ,2,0,1,112.674274405617,409.263975363516,041795,00
2020,01,005601,098,11,04,040205,3,5,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,137.186644573792,207.058570155136,041891,00
2020,01,005675,002,11,07,040514,6,6,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,105.566791355338,244.70016864598,042093,00
2020,01,005675,085,11,04,040514,6,6,02,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,105.566791355338,244.70016864598,042093,00
2020,01,005675,085,11,05,040514,6,6,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,105.566791355338,244.70016864598,042093,00
2020,01,005679,120,11,05,040108,3,8,02,1,1,1,12,6,3,1,2, ,2,7, , ,2,0,1,55.8771283741464,120.056328265126,043641,00
2020,01,005692,023,11,02,050101,5,2,01,1,1,1,12,4,3,1,2, ,1,8, , ,2,0,1,632.519314394853,1189.04662102848,035183,00
2020,01,005736,021,11,04,050501,5,5,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,199.79382342881,375.584056475837,035045,00
2020,01,005757,036,11,05,050601,5,5,02,1,1,1,11,4,3,1,2, ,2,10, , ,2,0,1,329.263459989045,618.968618095123,035917,00
2020,01,005757,036,11,06,050601,5,5,02,1,1,1,11,4,3,1,2, ,2,7, , ,2,0,1,329.263459989045,618.968618095123,035917,00
2020,01,005768,088,11,04,050406,5,8,02,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,139.626602342206,289.317715325209,034894,00
2020,01,005768,088,11,05,050406,5,8,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,139.626602342206,289.317715325209,034894,00
2020,01,005778,053,11,04,050509,7,7,02,1,1,1,11,6,3,1,2, ,2,8, , ,2,0,1,115.641059858739,223.963993543134,035062,00
2020,01,005778,054,11,04,050509,7,7,01,1,1,2, , ,3,1,2, ,2,7, , ,2,0,1,115.641059858739,223.963993543134,035062,00
2020,01,005778,056,11,04,050509,7,7,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,115.641059858739,223.963993543134,035062,00
2020,01,005778,137,11,04,050509,7,7,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,115.641059858739,223.963993543134,035062,00
2020,01,005778,140,11,02,050509,7,7,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,115.641059858739,223.963993543134,035062,00
2020,01,005794,065,11,10,050103,5,8,08,1,1,2, , ,5,1,2, ,1,9, , ,2,0,1,139.626602342206,289.317715325209,035482,00
2020,01,005851,016,11,06,060101,4,2,02,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,535.259976362873,1062.86470825766,005875,00
2020,01,005851,060,11,03,060101,4,2,02,1,2, , , ,3,1,2, ,1,8, , ,2,0,1,535.259976362873,1062.86470825766,005875,00
2020,01,005862,049,11,04,060101,4,2,02,1,2, , , ,5,1,2, ,2,9, , ,2,0,1,308.305833320497,652.78546197626,005986,00
2020,01,005898,012,11,03,060701,4,5,02,1,1,1,12,7,3,1,2, ,2,8, , ,2,0,1,426.388407575088,886.68382155587,005566,00
2020,01,005919,034,11,04,060810,4,7,01,2,2, , , ,3,1,2, ,2,8, , ,2,0,1,327.987562334339,728.742322937169,004691,00
2020,01,005919,088,11,04,060810,4,7,01,2,2, , , ,3,1,2, ,2,9, , ,2,0,1,327.987562334339,728.742322937169,004691,00
2020,01,005933,115,11,03,060601,4,7,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,327.987562334339,728.742322937169,004959,00
2020,01,005940,129,11,04,061308,4,7,01,1,2, , , ,3,1,2, ,1,9, , ,2,0,1,327.987562334339,728.742322937169,005075,00
2020,01,005946,006,11,05,060407,4,7,01,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,327.987562334339,728.742322937169,005207,00
2020,01,005952,011,11,04,060405,7,8,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,371.284169976363,963.899316984151,005311,00
2020,01,005954,110,11,04,060417,4,7,02,1,1,1,10,1,3,1,2, ,2,8, , ,2,0,1,327.987562334339,728.742322937169,005347,00
2020,01,005986,076,11,05,060505,1,8,04,1,2, , , ,5,1,2, ,1,9, , ,2,0,1,95.0209280962565,262.135232684717,005809,00
2020,01,006026,016,11,04,070106,8,1,02,1,1,1,12,6,3,1,2, ,2,9, , ,2,0,1,303.42504573873,723.043232591873,017281,00
2020,01,006026,110,11,03,070106,8,1,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,303.42504573873,723.043232591873,017281,00
2020,01,006032,010,11,03,070106,8,1,02,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,303.42504573873,723.043232591873,017331,00
2020,01,006061,109,11,06,070106,8,1,02,1,2, , , ,5,1,2, ,2,9, , ,2,0,1,110.540437369636,186.751713757461,017593,00
2020,01,006061,121,11,07,070106,8,1,05,1,1,1,12,7,5,1,2, ,1,8, , ,2,0,1,110.540437369636,186.751713757461,017593,00
2020,01,006070,014,11,05,070106,8,1,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,299.36856117003,717.188631518255,017674,00
2020,01,006070,076,11,04,070106,8,1,02,1,1,1,99,1,3,1,2, ,1,10, , ,2,0,1,299.36856117003,717.188631518255,017674,00
2020,01,006070,076,11,05,070106,8,1,02,1,1,1,99,1,3,1,2, ,2,8, , ,2,0,1,299.36856117003,717.188631518255,017674,00
2020,01,006092,100,11,04,070102,8,1,01,1,1,1,8,7,3,1,2, ,2,8, , ,2,0,1,392.522630181062,809.018763992773,017863,00
2020,01,006092,232,11,04,070102,8,1,01,2,1,2, , ,3,1,2, ,2,9, , ,2,0,1,392.522630181062,809.018763992773,017863,00
2020,01,006126,028,11,04,070101,8,1,02,1,1,1,12,1,3,1,2, ,1,7, , ,2,0,1,279.998128230736,588.661389973308,018126,00
2020,01,006126,151,11,04,070101,8,1,02,1,1,1,12,1,3,1,2, ,1,7, , ,2,0,1,279.998128230736,588.661389973308,018126,00
2020,01,006233,094,11,03,080901,7,4,01,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,988.085820359676,1324.89728586644,037027,00
2020,01,006251,091,11,06,080701,6,5,02,1,2, , , ,3,1,2, ,1,7, , ,2,0,1,843.073858798631,1793.10365244384,038418,00
2020,01,006266,135,11,03,080605,6,5,01,2,1,2, , ,3,1,2, ,2,8, , ,2,0,1,1061.68034963716,2463.90604579078,038788,00
2020,01,006292,013,11,04,081306,6,7,02,1,2, , , ,5,1,2, ,1,9, , ,2,0,1,211.010462178281,440.18015355848,037308,00
2020,01,006312,092,11,05,081104,6,7,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,211.010462178281,440.18015355848,038162,00
2020,01,006312,166,11,04,081104,6,7,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,211.010462178281,440.18015355848,038162,00
2020,01,006312,168,11,05,081104,6,7,02,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,211.010462178281,440.18015355848,038162,00
2020,01,006312,168,11,06,081104,6,7,02,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,211.010462178281,440.18015355848,038162,00
2020,01,006359,101,11,03,090101,5,4,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,308.226004092107,601.153723744246,033155,00
2020,01,006394,040,11,03,090716,5,7,02,1,1,2, , ,5,1,2, ,1,9, , ,2,0,1,138.01014388767,310.934223968345,032833,00
2020,01,006395,054,11,05,090715,5,8,02,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,138.01014388767,310.934223968345,032844,00
2020,01,006395,118,11,07,090715,5,8,02,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,138.01014388767,310.934223968345,032844,00
2020,01,006410,059,11,03,090705,5,7,02,1,1,2, , ,3,1,2, ,2,7, , ,2,0,1,138.01014388767,310.934223968345,032967,00
2020,01,006414,297,11,04,090705,5,7,02,1,2, , , ,3,1,2, ,1,8, , ,2,0,1,138.01014388767,310.934223968345,032981,00
2020,01,006414,298,11,03,090705,5,7,02,1,2, , , ,3,1,2, ,1,9, , ,2,0,1,138.01014388767,310.934223968345,032981,00
2020,01,006467,041,11,04,090412,5,6,01,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,138.01014388767,310.934223968345,033375,00
2020,01,006473,075,11,04,090401,5,7,02,1,1,1,99,4,3,1,2, ,1,9, , ,2,0,1,138.01014388767,310.934223968345,033422,00
2020,01,006473,236,11,03,090401,5,7,01,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,138.01014388767,310.934223968345,033422,00
2020,01,006483,003,11,04,090306,5,7,06,1,2, , , ,3,1,2, ,2,7, , ,2,0,1,138.01014388767,310.934223968345,033493,00
2020,01,006483,027,11,06,090306,5,7,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,138.01014388767,310.934223968345,033493,00
2020,01,006523,093,11,02,100102,5,2,01,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,469.480851973114,1143.53761234428,014603,00
2020,01,006567,013,11,03,100207,5,5,02,2,2, , , ,3,1,2, ,2,8, , ,2,0,1,527.142646459613,1283.98728251999,015026,00
2020,01,006567,030,11,05,100207,5,5,02,1,2, , , ,3,1,2, ,1,9, , ,2,0,1,527.142646459613,1283.98728251999,015026,00
2020,01,006567,071,11,06,100207,5,5,02,2,2, , , ,3,1,2, ,2,8, , ,2,0,1,527.142646459613,1283.98728251999,015026,00
2020,01,006571,159,11,06,100402,5,7,01,1,1,2, , ,5,1,2, ,1,9, , ,2,0,1,209.976805170454,466.514654086001,014002,00
2020,01,006574,025,11,04,100401,5,7,02,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,209.976805170454,466.514654086001,014013,00
2020,01,006612,121,11,02,101104,5,7,01,2,1,2, , ,3,1,2, ,2,9, , ,2,0,1,209.976805170454,466.514654086001,014378,00
2020,01,006617,051,11,02,101103,5,6,03,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,209.976805170454,466.514654086001,014429,00
2020,01,006632,166,11,06,100101,5,8,02,1,1,1,8,1,3,1,2, ,1,9, , ,2,0,1,209.976805170454,466.514654086001,014753,00
2020,01,006632,167,11,04,100101,5,8,02,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,209.976805170454,466.514654086001,014753,00
2020,01,006645,044,11,06,100803,5,8,02,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,209.976805170454,466.514654086001,014884,00
2020,01,006645,115,11,03,100803,5,8,01,1,1,2, , ,3,1,2, ,1,7, , ,2,0,1,209.976805170454,466.514654086001,014884,00
2020,01,006652,015,11,05,100801,5,7,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,209.976805170454,466.514654086001,014927,00
2020,01,006670,008,11,04,110102,2,2,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,184.935643024774,392.066307752066,034143,00
2020,01,006670,134,11,03,110102,2,2,01,1,1,2, , ,3,1,2, ,2,7, , ,2,0,1,184.935643024774,392.066307752066,034143,00
2020,01,006712,028,11,03,110101,2,2,02,1,1,2, , ,5,1,2, ,1,9, , ,2,0,1,141.982848515794,298.616810498121,034348,00
2020,01,006762,063,11,05,110201,2,2,01,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,102.448096452289,389.908124467345,033770,00
2020,01,006767,058,11,03,110201,2,2,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,304.18033962981,618.74775028829,033797,00
2020,01,006767,100,22,03,110201,2,2,01,1,2, , , ,3,1,2, ,1,8, , ,2,0,1,304.18033962981,618.74775028829,033797,00
2020,01,006769,191,11,06,110201,2,2,04,1,1,2, , ,5,1,2, ,2,9, , ,2,0,1,326.184874837073,670.729268605192,033804,00
2020,01,006798,005,11,02,110508,2,3,01,1,1,2, , ,3,1,2, ,1,10, , ,2,0,1,298.093572365746,626.947221591749,034053,00
2020,01,006884,151,11,04,120114,5,2,03,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,108.796275023161,395.628808554332,031791,00
2020,01,006893,072,11,06,120114,5,2,01,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,167.686246657162,312.998945859566,031876,00
2020,01,006970,009,11,05,120401,5,5,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,231.91695777458,432.890380998802,031456,00
2020,01,006970,022,11,05,120401,5,5,01,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,231.91695777458,432.890380998802,031456,00
2020,01,006975,147,11,04,120201,5,5,02,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,769.592096385329,1546.22840639982,031600,00
2020,01,007037,039,11,05,120205,5,8,02,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,177.269617761481,393.011038206062,031633,00
